date,temperature,humidity,lumnosity
2022-11-27 12:59:36.637,25.0,48.6,250
2022-11-27 12:59:34.993,25.1,48.4,254
2022-11-27 12:59:33.350,25.1,48.7,255
2022-11-27 12:59:31.706,25.1,48.4,254
2022-11-27 12:59:30.063,25.1,48.8,254
2022-11-27 12:59:28.419,25.0,48.5,254
2022-11-27 12:59:26.776,25.1,48.7,255
2022-11-27 12:59:25.132,25.1,48.8,255
2022-11-27 12:59:23.489,25.1,48.9,255
2022-11-27 12:59:21.846,25.0,48.9,255
2022-11-27 12:59:20.203,25.1,48.8,256
2022-11-27 12:59:18.559,25.0,48.9,255
2022-11-27 12:59:16.916,25.1,48.9,256
2022-11-27 12:59:15.272,25.0,48.3,256
2022-11-27 12:59:13.629,25.0,48.2,255
2022-11-27 12:59:11.985,25.1,48.1,255
2022-11-27 12:59:10.342,25.0,48.1,254
2022-11-27 12:59:08.699,25.0,48.3,255
2022-11-27 12:59:07.056,25.0,48.5,255
2022-11-27 12:59:05.412,25.1,48.6,255
2022-11-27 12:59:03.770,25.0,48.9,255
2022-11-27 12:59:02.127,25.0,48.8,255
2022-11-27 12:59:00.484,25.0,48.7,255
2022-11-27 12:58:58.842,25.0,48.8,255
2022-11-27 12:58:57.199,25.0,48.9,254
2022-11-27 12:58:55.556,25.0,48.2,254
2022-11-27 12:58:53.913,25.0,48.2,256
2022-11-27 12:58:52.270,25.0,48.1,256
2022-11-27 12:58:50.625,25.0,48.2,256
2022-11-27 12:58:48.983,25.0,48.6,256
2022-11-27 12:58:47.340,25.0,48.6,256
2022-11-27 12:58:45.697,25.0,48.7,255
2022-11-27 12:58:44.054,25.0,48.8,254
2022-11-27 12:58:42.410,25.0,48.8,255
2022-11-27 12:58:40.767,25.0,48.8,254
2022-11-27 12:58:39.123,25.0,48.8,254
2022-11-27 12:58:37.480,25.0,48.6,255
2022-11-27 12:58:35.836,25.0,48.5,254
2022-11-27 12:58:34.193,25.0,48.6,253
2022-11-27 12:58:32.549,25.0,48.5,252
2022-11-27 12:58:30.906,25.0,48.7,252
2022-11-27 12:58:29.263,25.0,48.9,253
2022-11-27 12:58:27.621,25.0,49.0,255
2022-11-27 12:58:25.977,25.0,49.0,254
2022-11-27 12:58:26.333,25.0,48.9,254
2022-11-27 12:58:22.690,25.0,49.2,254
2022-11-27 12:58:21.047,25.0,49.2,254
2022-11-27 12:58:19.404,25.0,49.3,253
2022-11-27 12:58:17.761,26.9,49.4,254
2022-11-27 12:58:16.117,25.0,49.6,254
2022-11-27 12:58:14.473,25.0,49.6,253
2022-11-27 12:58:12.830,25.0,49.7,253
2022-11-27 12:58:11.186,25.0,49.7,255
2022-11-27 12:58:09.544,25.0,49.6,255
2022-11-27 12:58:07.900,25.0,49.6,254
2022-11-27 12:58:06.256,25.0,49.7,253
