date,temperature,humidity,luminosity
2022-11-26 17:19:27.925,26.0,46.2,242
2022-11-26 17:19:26.922,26.0,46.2,241
2022-11-26 17:19:25.643,26.0,46.1,242
2022-11-26 17:19:24.644,26.0,46.1,243
2022-11-26 17:19:23.366,26.0,46.0,242
2022-11-26 17:19:22.366,26.0,46.0,243
2022-11-26 17:19:21.088,26.0,45.9,244
2022-11-26 17:19:20.085,26.0,45.9,243
2022-11-26 17:19:18.811,26.0,45.8,242
2022-11-26 17:19:17.807,26.0,45.8,241
2022-11-26 17:19:16.533,26.1,45.8,243
2022-11-26 17:19:15.530,26.1,45.8,243
2022-11-26 17:19:14.251,26.0,45.7,242
2022-11-26 17:19:13.252,26.0,45.7,243
2022-11-26 17:19:11.974,26.1,45.8,243
2022-11-26 17:19:10.970,26.1,45.8,243
2022-11-26 17:19:09.697,26.0,45.7,242
2022-11-26 17:19:08.692,26.0,45.7,242
2022-11-26 17:19:07.419,26.0,45.7,244
2022-11-26 17:19:06.415,26.0,45.7,243
2022-11-26 17:19:05.137,26.0,45.6,243
2022-11-26 17:19:04.137,26.0,45.6,243
2022-11-26 17:19:02.859,26.0,45.6,244
2022-11-26 17:19:01.860,26.0,45.6,243
2022-11-26 17:19:00.582,26.0,45.5,243
2022-11-26 17:18:59.578,26.0,45.5,243
2022-11-26 17:18:58.304,26.0,45.5,244
2022-11-26 17:18:57.300,26.0,45.5,243
2022-11-26 17:18:56.022,26.0,45.5,242
2022-11-26 17:18:55.023,26.0,45.5,243
2022-11-26 17:18:53.745,26.0,45.5,244
2022-11-26 17:18:52.745,26.0,45.5,244
2022-11-26 17:18:51.467,26.0,45.6,243
2022-11-26 17:18:50.463,26.0,45.6,243
2022-11-26 17:18:49.189,26.0,45.6,244
2022-11-26 17:18:48.186,26.0,45.6,243
2022-11-26 17:18:46.912,26.0,45.7,242
2022-11-26 17:18:45.908,26.0,45.7,242
2022-11-26 17:18:44.630,26.0,45.8,243
2022-11-26 17:18:43.631,26.0,45.8,242
2022-11-26 17:18:42.352,26.0,45.7,242
2022-11-26 17:18:41.353,26.0,45.7,244
2022-11-26 17:18:40.075,26.0,45.7,244
2022-11-26 17:18:39.071,26.0,45.7,243
2022-11-26 17:18:37.797,26.0,45.7,243
2022-11-26 17:18:36.794,26.0,45.7,244
2022-11-26 17:18:35.516,26.0,45.8,243
2022-11-26 17:18:34.516,26.0,45.8,241
2022-11-26 17:18:33.238,26.0,45.8,242
2022-11-26 17:18:32.238,26.0,45.8,243
2022-11-26 17:18:30.960,26.0,45.7,242
2022-11-26 17:18:29.957,26.0,45.7,242
2022-11-26 17:18:28.683,26.0,45.7,243
2022-11-26 17:18:27.679,26.0,45.7,244
2022-11-26 17:18:26.405,26.0,45.6,243
2022-11-26 17:18:25.401,26.0,45.6,242
2022-11-26 17:18:24.123,26.0,45.5,243
2022-11-26 17:18:23.124,26.0,45.5,243
2022-11-26 17:18:21.846,26.0,45.5,243
2022-11-26 17:18:20.846,26.0,45.5,242
2022-11-26 17:18:19.568,26.0,45.4,243
2022-11-26 17:18:18.564,26.0,45.4,243
2022-11-26 17:18:17.290,26.0,45.4,243
2022-11-26 17:18:16.287,26.0,45.4,242
2022-11-26 17:18:15.008,26.1,45.5,243
2022-11-26 17:18:14.009,26.1,45.5,244
2022-11-26 17:18:12.731,26.0,45.4,243
2022-11-26 17:18:11.731,26.0,45.4,242
2022-11-26 17:18:10.453,26.1,45.6,244
2022-11-26 17:18:09.450,26.1,45.6,244
2022-11-26 17:18:08.176,26.0,45.6,242
2022-11-26 17:18:07.172,26.0,45.6,242
2022-11-26 17:18:05.898,26.0,45.7,243
